epoch,accuracy,auc,categorical_crossentropy,kullback_leibler_divergence,loss,top_k_categorical_accuracy
0,0.042575061321258545,0.6880547404289246,6.147508144378662,6.145956993103027,6.145956993103027,0.1646740585565567
1,0.07427643984556198,0.7304301857948303,5.572795867919922,5.571287155151367,5.571287155151367,0.21309170126914978
2,0.12366783618927002,0.7756068110466003,5.039648056030273,5.038227558135986,5.038227558135986,0.2869894504547119
3,0.17901000380516052,0.81931072473526,4.465561389923096,4.4642205238342285,4.4642205238342285,0.36948877573013306
4,0.2507438361644745,0.8609544634819031,3.8711721897125244,3.8699328899383545,3.8699328899383545,0.45626184344291687
5,0.3262104392051697,0.90899658203125,3.3155136108398438,3.3143155574798584,3.3143155574798584,0.5487692952156067
6,0.40308359265327454,0.9427212476730347,2.8356521129608154,2.8345863819122314,2.8345863819122314,0.643873393535614
7,0.48725995421409607,0.9613751769065857,2.4090442657470703,2.4082016944885254,2.4082016944885254,0.7264268398284912
8,0.5553151369094849,0.973798394203186,2.0493528842926025,2.048598051071167,2.048598051071167,0.7848525643348694
9,0.6199621558189392,0.9813352227210999,1.748278260231018,1.7476001977920532,1.7476001977920532,0.8354882597923279
